id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,75,3,356,08-09-2024,2.17,2,119,43,
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,72,3,316,27-08-2024,1.95,2,33,48,
159889,Friendly Single Room,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,55,2,444,01-09-2024,2.92,3,348,40,
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,85,2,389,25-08-2024,3.44,2,7,27,
165828,Pádraig Pearse apt. Kilmainham,790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,197,3,76,28-12-2023,0.48,4,185,1,
165829,"The ""Michael Collins"" apartment",790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,253,3,83,13-06-2024,0.54,4,187,4,
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39558,-6.17524,Entire home/apt,65,1,541,09-09-2024,3.49,3,130,69,
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34596,-6.41719,Private room,30,30,47,31-08-2024,0.32,1,0,4,
292757,Old World Converted Stables with Swimming Pool.,1515549,Sarah,,Dublin City,53.36949,-6.34889,Entire home/apt,130,2,461,02-09-2024,3.15,1,53,48,
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,184,2,76,20-06-2024,0.5,8,185,9,
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,112,2,152,08-09-2024,1,8,183,27,
333950,Best location in Dublin City Centre,1607393,Daragh,,Dublin City,53.34199721,-6.273684874,Private room,,2,285,17-08-2024,1.88,3,3,35,
365854,Boutique Cosy Centre Apartment,1847391,Diane,,Dublin City,53.3532,-6.25648,Entire home/apt,177,2,188,18-05-2021,1.24,1,163,0,
374792,"'Grace Gifford' cottage, Kilmainham",790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,193,3,36,03-05-2024,0.24,4,173,1,
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,,Dublin City,53.35682,-6.29132,Entire home/apt,177,2,172,23-08-2024,1.19,8,252,13,
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,166,2,640,25-08-2024,4.29,4,134,52,
426326,Large room with double & single Bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,140,3,268,18-08-2024,1.8,3,15,6,
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,,Dublin City,53.35572,-6.25803,Entire home/apt,162,2,593,25-08-2024,3.94,4,137,35,
427495,Lovely attic room with double bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,100,3,188,01-09-2024,1.28,3,333,4,
451611,Best location balcony St Patrick's view,1607393,Daragh,,Dublin City,53.3404,-6.27256,Entire home/apt,147,2,618,04-09-2024,4.13,3,41,30,
468082,"A little bit of country in the city, Fairy House",2115318,Siobhan,,South Dublin,53.35336,-6.44968,Private room,135,1,390,25-08-2024,2.66,3,326,30,
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,162,2,526,26-08-2024,3.54,4,147,41,
526767,Designer Apt in the heart of Dublin,2340296,Dardo,,Dublin City,53.34752,-6.26393,Entire home/apt,206,2,670,28-08-2024,4.58,1,212,45,
587218,sunny double room in victorian home,2895736,James And Tom,,Dublin City,53.36405,-6.27351,Private room,90,2,289,11-09-2024,1.98,1,126,40,
592840,"Fairy House ,A little bit of country in the city",2115318,Siobhan,,South Dublin,53.35338,-6.44994,Private room,65,1,105,22-08-2024,0.72,3,344,35,
631270,Ringsend near city centre cosy room double bed,3125619,Freda,,Dublin City,53.34095,-6.23277,Private room,105,2,63,31-08-2024,0.63,2,93,15,
654589,City Centre Apartment | TEMPLE BAR | DUBLIN CASTLE,3244025,Garrett,,Dublin City,53.34493,-6.26688,Entire home/apt,404,1,648,04-09-2024,4.43,2,126,53,
690119,Extensively Modernised Georgian House near Everything,3525420,Sarah,,Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire home/apt,365,4,242,08-09-2024,1.77,2,239,16,
701759,Beautiful room in design awarded house beside Luas,3525420,Sarah,,Dn Laoghaire-Rathdown,53.29296,-6.24546,Private room,109,2,32,24-06-2024,0.22,2,68,3,
715205,Gracepark Guesthouse 1,3683952,Roy,,Dublin City,53.3688376,-6.249314785,Private room,100,1,125,27-08-2024,0.86,3,319,30,
726011,Sunset Crag - Beautiful Apartment,3755932,Valerie,,Fingal,53.58175,-6.1226,Entire home/apt,140,3,219,31-08-2024,1.64,1,176,22,
726075,Chestnut view- 4* Rating Close to airport and city,3756388,Mary,,Dublin City,53.36973,-6.25788,Entire home/apt,125,21,4,30-08-2024,0.04,1,106,1,
736751,Gracepark Guesthouse 2,3683952,Roy,,Dublin City,53.36786926,-6.250431448,Private room,,1,109,28-08-2024,0.75,3,0,35,
736773,Gracepark Guesthouse 3,3683952,Roy,,Dublin City,53.37029,-6.25113,Private room,,1,75,17-08-2024,0.53,3,0,12,
742656,Camden Central. Dublin at your door,3888023,Daragh,,Dublin City,53.33387,-6.26429,Private room,80,2,468,18-08-2024,3.63,2,78,35,
747284,Luxury 2 BED Apartment near  City Centre,1626936,James P  ( J.P),,Dn Laoghaire-Rathdown,53.29505,-6.23371,Entire home/apt,,15,39,16-09-2022,0.28,1,0,0,
869956,Bright double room in independent house near UCD,4584609,Silvia,,Dn Laoghaire-Rathdown,53.30456,-6.20356,Private room,,14,11,01-03-2024,0.08,3,8,1,
871174,Three single beds,4592908,Louise,,Dublin City,53.3678,-6.20609,Private room,59,1,339,02-09-2024,2.42,3,104,46,
872539,Contemporary Victorian cottage,4603565,Aida,,Dublin City,53.35789,-6.23813,Entire home/apt,290,3,161,03-09-2024,1.15,1,281,20,
922425,Perfect Location City Centre House,1607393,Daragh,,Dublin City,53.34202,-6.27351,Entire home/apt,309,3,138,14-07-2024,0.99,3,92,3,
998407,self contained cozy tot private near city & airpor,1245198,Amanda,,Dublin City,53.39622,-6.1756,Entire home/apt,53,1,327,07-09-2024,2.73,3,108,31,
999963,"City living with garden, park, canal, luas",5497230,Sarah And Johnny,,Dublin City,53.36193,-6.27423,Entire home/apt,450,7,11,08-08-2023,0.09,1,0,0,
1073487,Open Plan /UCD Adjacent share with small family,5905039,Jane,,Dn Laoghaire-Rathdown,53.30443,-6.24083,Private room,105,3,101,15-08-2024,0.73,1,362,12,
1086416,"Cosy, self-contained, 1-bed space.",5971713,Eileen,,Dublin City,53.35846,-6.27528,Entire home/apt,129,2,276,27-08-2024,2,1,10,13,
1173029,Great house in vibrant Stoneybatter,3448346,Ian,,Dublin City,53.35107,-6.27992,Entire home/apt,302,3,460,10-09-2024,4.09,1,278,71,
1207950,Large 5 Star Prime South Dublin House,6593571,Dave & Ann,,Dn Laoghaire-Rathdown,53.28341,-6.24498,Entire home/apt,390,5,97,01-09-2024,0.72,1,134,10,
1255270,No1 friendly family home,6837751,Siobhan,,South Dublin,53.33883,-6.433,Private room,50,30,21,15-08-2024,0.16,2,42,7,
1270261,Old Country house,474328,James,,Fingal,53.5668,-6.31556,Private room,50,1,13,13-08-2023,0.11,1,347,0,
1299470,Large Georgian House @ Malahide Beach,6287304,Jonathan,,Fingal,53.44352,-6.13357,Entire home/apt,629,1,0,,,1,317,0,
1345435,"Townhouse, Portobello",435734,Conor,,Dublin City,53.33095,-6.27176,Private room,200,10,35,18-11-2019,0.28,1,72,0,
1364560,"Cosy double in Eclectic Arty home, near Guinness",6977448,Stephen,,Dublin City,53.33677,-6.28899,Private room,90,3,164,09-09-2024,1.21,2,3,12,
1407832,Near the sea Dublin family house,5818278,Therese,,Dn Laoghaire-Rathdown,53.29832,-6.17191,Entire home/apt,,6,66,10-08-2024,0.49,1,0,1,
1466234,Single room,5940448,Elva,,Dublin City,53.32894,-6.30413,Private room,44,4,213,10-09-2024,1.58,1,0,41,
1478255,Country Cottage in the city,7910820,Michael,,Dublin City,53.34359251,-6.221619842,Entire home/apt,264,2,22,19-08-2024,3.69,1,188,22,
1510400,Spacious and Contemporary House,8066896,Ken,,Dublin City,53.32956,-6.32588,Entire home/apt,,100,8,23-06-2023,0.06,1,90,0,
1520036,"Double Bedroom (En-suite), Dublin City Centre",6973475,Brendan,,Dublin City,53.34484,-6.27976,Private room,180,3,54,18-08-2024,0.4,1,87,8,
1559929,Stephen's Green 1838 Villa - single,3745350,Natasha,,Dublin City,53.33514,-6.26772,Private room,85,2,66,08-05-2023,0.5,2,1,0,
1596451,"Stunning architectural home, sleeps 8, Dublin.",6219661,Sonya,,Dublin City,53.36205,-6.2442,Entire home/apt,1000,2,17,30-05-2016,0.13,1,362,0,
1600779,Stephen's Green 1838 Villa - double,3745350,Natasha,,Dublin City,53.33511,-6.26875,Private room,110,2,76,26-05-2024,0.59,2,70,1,
1711261,Kilmainham Lane Terrace,1390012,Andy,,Dublin City,53.34432,-6.29733,Entire home/apt,,7,15,20-05-2024,0.17,1,0,1,
1729959,Kim's House,9115187,Kim,,Dn Laoghaire-Rathdown,53.3065,-6.24719,Entire home/apt,,5,8,12-07-2024,0.07,2,0,1,
1804494,Entire 2bed townhouse close to City,6650296,Fiona,,Dublin City,53.36373,-6.20788,Entire home/apt,185,4,141,31-08-2024,1.09,1,1,9,
